ciclo_academico,edad,numero_discapacidades,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,Status_codificado,Sexo_codificado,tipo_de_est_programa_codificado,tipo_de_ingreso_codificado,estatus_curso_codificado,discapacidad_codificado,region_codificado,tipo_de_pago_codificado,descripcion_beca_codificado,descripcion_descuento_codificado,convenios_contratos_codificado,formas_pago_codificado,tipo_discapacidad_codificado,curso_codificado
2,35.0,0,2.85,3.5,2.4,2.7,3.43,3.0,0,0,0,6,0,0,0,1,0,0,1,21,4,47
2,35.0,0,1.87,3.1,2.43,2.75,1.5,3.0,0,0,0,6,0,0,0,1,0,0,1,21,4,13
2,35.0,0,2.93,1.5,2.6,2.9,3.2,1.5,0,0,0,6,0,0,0,1,0,0,1,21,4,14
2,35.0,0,3.35,2.83,2.78,3.32,1.28,2.64,0,0,0,6,0,0,0,1,0,0,1,21,4,50
2,35.0,0,2.69,3.4,2.86,3.44,3.5,3.0,0,0,0,6,0,0,0,1,0,0,1,21,4,46
8,30.0,0,2.33,2.68,2.25,2.47,2.15,3.0,0,0,0,0,0,0,0,1,1,0,1,21,4,9
8,30.0,0,2.45,2.9,3.0,2.84,3.2,3.0,0,0,0,0,0,0,0,1,1,0,1,21,4,42
8,30.0,0,3.33,2.3,2.55,2.9,3.5,2.9,0,0,0,0,0,0,0,1,1,0,1,21,4,4
8,30.0,0,2.42,2.35,2.45,2.83,3.3,2.5,0,0,0,0,0,0,0,1,1,0,1,21,4,34
8,30.0,0,2.99,3.3,2.45,1.75,3.0,1.96,0,0,0,0,0,0,0,1,1,0,1,21,4,37
9,30.0,0,2.97,3.35,0.8,2.81,2.1,2.21,0,0,0,0,0,0,0,1,1,0,1,21,4,10
9,30.0,0,2.9,3.5,2.1,2.65,3.2,1.9,0,0,0,0,0,0,0,1,1,0,1,21,4,38
9,30.0,0,2.36,2.7,2.89,2.36,3.5,1.58,0,0,0,0,0,0,0,1,1,0,1,21,4,39
9,30.0,0,3.19,3.0,2.63,2.99,2.63,2.78,0,0,0,0,0,0,0,1,1,0,1,21,4,52
9,30.0,0,3.08,3.13,2.7,3.08,1.5,3.0,0,0,0,0,0,0,0,1,1,0,1,21,4,44
5,30.0,0,2.35,1.6,2.09,2.64,2.9,1.62,1,0,0,0,0,0,0,1,1,0,1,21,4,6
5,30.0,0,2.18,2.45,1.8,2.74,3.28,2.85,0,0,0,0,0,0,0,1,1,0,1,21,4,22
5,30.0,0,2.62,2.5,1.9,2.46,3.5,1.95,0,0,0,0,0,0,0,1,1,0,1,21,4,51
5,30.0,0,2.97,2.96,2.76,2.94,2.95,2.24,0,0,0,0,0,0,0,1,1,0,1,21,4,7
5,30.0,0,2.49,2.5,2.7,2.8,3.5,2.8,0,0,0,0,0,0,0,1,1,0,1,21,4,23
6,30.0,0,2.34,-1.0,3.4,0.75,-1.0,-1.0,0,0,0,0,0,0,0,1,1,0,1,21,4,6
6,30.0,0,2.63,-1.0,3.3,0.78,-1.0,-1.0,0,0,0,0,0,0,0,1,1,0,1,21,4,24
6,30.0,0,3.04,-1.0,3.5,0.89,-1.0,-1.0,0,0,0,0,0,0,0,1,1,0,1,21,4,25
6,30.0,0,2.75,-1.0,3.02,0.95,-1.0,-1.0,0,0,0,0,0,0,0,1,1,0,1,21,4,26
6,30.0,0,2.78,-1.0,3.1,0.85,-1.0,-1.0,0,0,0,0,0,0,0,1,1,0,1,21,4,27
6,30.0,0,3.15,-1.0,2.83,0.95,-1.0,-1.0,0,0,0,0,0,0,0,1,1,0,1,21,4,29
7,30.0,0,2.91,3.24,2.85,1.84,2.81,2.84,0,0,0,0,0,0,0,1,1,0,1,21,4,8
7,30.0,0,2.55,2.35,2.13,2.52,3.2,2.1,0,0,0,0,0,0,0,1,1,0,1,21,4,1
7,30.0,0,2.64,3.5,2.75,2.56,3.19,2.75,0,0,0,0,0,0,0,1,1,0,1,21,4,30
7,30.0,0,3.42,3.5,1.05,2.53,3.5,3.0,0,0,0,0,0,0,0,1,1,0,1,21,4,31
7,30.0,0,2.91,3.5,2.8,2.62,2.15,2.9,0,0,0,0,0,0,0,1,1,0,1,21,4,33
2,20.0,0,2.0,2.4,3.0,1.94,3.3,2.1,0,0,0,6,0,0,0,2,0,0,0,10,4,12
