ciclo_academico,region,porcentaje_de_beca,formas_de_pago,edad,porcentaje_de_discapacidades,numero_discapacidades,numero_reprobaciones,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,final_nota,tasa_aprobacion,Sexo,Tipo_de_est_programa,Tipo_de_ingreso,Estatus_curso,Discapacidad,Status,Tipo_de_pago,Descripcion_beca,Descripcion_descuento,Convenios_contratos,Formas_pago,Tipo_discapacidad,Curso
2,0,10.0,1,20.0,0,0,1,1.77,3.07,2.1,1.75,2.94,1.4,6.25,0.5,0,0,6,0,0,1,2,0,0,0,1,4,13
2,0,10.0,1,20.0,0,0,1,1.34,3.23,1.14,1.68,3.48,1.0,5.83,0.33,0,0,6,0,0,1,2,0,0,0,1,4,14
2,0,10.0,1,20.0,0,0,0,1.89,3.42,2.78,1.92,3.46,2.7,8.09,0.67,0,0,6,0,0,0,2,0,0,0,1,4,50
2,0,10.0,1,20.0,0,0,0,2.43,3.5,2.81,2.31,3.5,2.98,8.77,0.67,0,0,6,0,0,0,2,0,0,0,1,4,46
3,0,10.0,1,20.0,0,0,0,2.0,2.35,3.0,2.13,3.5,3.0,7.99,0.5,0,0,6,0,0,0,2,0,0,0,1,4,15
3,0,10.0,1,20.0,0,0,0,1.88,2.85,2.7,1.95,3.3,3.0,7.84,0.67,0,0,6,0,0,0,2,0,0,0,1,4,48
3,0,10.0,1,20.0,0,0,0,1.88,3.5,3.0,2.19,3.5,3.0,8.54,0.67,0,0,6,0,0,0,2,0,0,0,1,4,16
3,0,10.0,1,20.0,0,0,1,1.69,2.73,3.0,2.44,3.12,2.0,7.49,0.5,0,0,6,0,0,0,2,0,0,0,1,4,13
3,0,10.0,1,20.0,0,0,1,2.13,2.79,2.1,2.17,3.05,2.7,7.47,0.67,0,0,6,0,0,0,2,0,0,0,1,4,14
3,0,10.0,1,20.0,0,0,0,1.88,3.47,3.0,2.31,3.2,3.0,8.43,0.67,0,0,6,0,0,0,2,0,0,0,1,4,43
4,0,10.0,1,20.0,0,0,0,2.56,3.5,2.35,2.38,3.5,1.6,7.95,0.67,0,0,6,0,0,0,2,0,0,0,1,4,18
4,0,10.0,1,20.0,0,0,0,2.44,3.5,1.43,1.94,3.5,1.73,7.27,0.33,0,0,6,0,0,0,2,0,0,0,1,4,19
4,0,10.0,1,20.0,0,0,1,1.39,3.5,2.7,1.71,3.2,2.7,7.6,0.67,0,0,6,0,0,0,2,0,0,0,1,4,40
4,0,10.0,1,20.0,0,0,0,1.9,3.36,2.4,2.4,2.61,2.25,7.46,0.67,0,0,6,0,0,0,2,0,0,0,1,4,17
1,0,10.0,1,20.0,0,0,1,1.58,2.2,2.55,1.49,3.2,2.7,6.29,0.5,0,1,6,0,0,1,2,0,0,0,1,4,40
1,0,10.0,1,20.0,0,0,0,2.14,3.5,2.42,2.19,3.5,2.42,8.09,0.67,0,1,6,0,0,0,2,0,0,0,1,4,2
1,0,10.0,1,20.0,0,0,0,1.65,3.2,2.13,2.08,3.5,2.4,7.48,0.67,0,1,6,0,0,0,2,0,0,0,1,4,3
1,0,10.0,1,20.0,0,0,0,1.97,3.13,2.8,1.75,3.25,3.0,7.95,0.67,0,1,6,0,0,0,2,0,0,0,1,4,11
1,0,10.0,1,20.0,0,0,0,2.03,3.3,3.0,2.25,3.3,2.6,8.24,0.67,0,1,6,0,0,0,2,0,0,0,1,4,49
1,0,10.0,1,20.0,0,0,0,2.21,3.5,3.0,2.11,3.5,3.0,8.66,0.67,0,1,6,0,0,0,2,0,0,0,1,4,45
1,0,60.0,2,28.0,0,0,0,3.19,3.5,3.0,3.0,3.5,3.0,9.6,1.0,2,1,6,0,0,0,2,0,0,1,2,4,2
1,0,60.0,2,28.0,0,0,0,2.42,3.5,2.85,2.67,2.9,3.0,8.67,0.83,2,1,6,0,0,0,2,0,0,1,2,4,3
1,0,60.0,2,28.0,0,0,0,2.92,3.5,2.9,2.25,3.5,2.8,8.94,0.83,2,1,6,0,0,0,2,0,0,1,2,4,11
1,0,60.0,2,28.0,0,0,0,2.07,3.33,3.0,3.36,3.38,3.0,9.07,0.83,2,1,6,0,0,0,2,0,0,1,2,4,45
2,0,60.0,2,28.0,0,0,0,3.06,3.25,2.85,3.19,3.3,3.0,9.33,1.0,2,0,6,0,0,0,2,0,0,1,2,4,12
2,0,60.0,2,28.0,0,0,0,2.34,3.35,2.7,2.13,3.5,2.55,8.29,0.67,2,0,6,0,0,0,2,0,0,1,2,4,40
2,0,60.0,2,28.0,0,0,0,2.88,3.1,3.0,2.25,3.5,3.0,8.87,0.83,2,0,6,0,0,0,2,0,0,1,2,4,47
2,0,60.0,2,28.0,0,0,0,2.35,2.6,1.5,2.42,3.4,2.87,7.57,0.5,2,0,6,0,0,0,2,0,0,1,2,4,14
2,0,60.0,2,28.0,0,0,0,2.81,3.15,3.0,2.81,3.2,3.0,8.99,1.0,2,0,6,0,0,0,2,0,0,1,2,4,49
2,0,60.0,2,28.0,0,0,0,2.54,3.35,3.0,2.75,3.5,2.96,9.05,1.0,2,0,6,0,0,0,2,0,0,1,2,4,46
3,0,8.0,2,28.0,0,0,0,2.69,3.1,3.0,2.81,3.35,3.0,8.98,1.0,2,0,6,0,0,0,2,0,0,1,2,4,15
3,0,8.0,2,28.0,0,0,0,2.4,2.9,2.85,2.58,3.5,3.0,8.62,0.83,2,0,6,0,0,0,2,0,0,1,2,4,48
3,0,8.0,2,28.0,0,0,0,2.38,3.5,3.0,3.13,3.5,3.0,9.26,0.83,2,0,6,0,0,0,2,0,0,1,2,4,16
3,0,8.0,2,28.0,0,0,0,2.06,3.5,2.85,2.27,3.31,3.0,8.5,0.67,2,0,6,0,0,0,2,0,0,1,2,4,13
3,0,8.0,2,28.0,0,0,0,3.28,3.3,2.85,2.76,3.2,2.93,9.16,1.0,2,0,6,0,0,0,2,0,0,1,2,4,50
5,0,18.0,1,32.0,0,0,0,3.38,3.5,3.0,3.38,3.5,3.0,9.88,1.0,0,0,0,0,0,0,2,0,0,0,1,4,6
5,0,18.0,1,32.0,0,0,0,2.81,3.2,2.4,2.19,3.5,2.7,8.4,0.83,0,0,0,0,0,0,2,0,0,0,1,4,22
5,0,18.0,1,32.0,0,0,0,3.24,3.5,2.7,2.56,3.5,2.63,9.07,1.0,0,0,0,0,0,0,2,0,0,0,1,4,51
5,0,18.0,1,32.0,0,0,0,3.42,3.31,2.78,3.0,3.5,2.76,9.39,1.0,0,0,0,0,0,0,2,0,0,0,1,4,7
5,0,18.0,1,32.0,0,0,0,2.64,3.5,3.0,2.81,3.5,3.0,9.23,1.0,0,0,0,0,0,0,2,0,0,0,1,4,23
6,0,18.0,1,32.0,0,0,0,3.31,3.5,2.7,2.88,3.5,3.0,9.45,1.0,0,0,0,0,0,0,2,0,0,0,1,4,8
6,0,18.0,1,32.0,0,0,0,3.25,3.3,2.7,3.19,3.35,2.4,9.1,1.0,0,0,0,0,0,0,2,0,0,0,1,4,24
6,0,18.0,1,32.0,0,0,0,3.38,3.5,3.0,2.94,3.5,2.98,9.65,1.0,0,0,0,0,0,0,2,0,0,0,1,4,25
6,0,18.0,1,32.0,0,0,0,2.97,3.35,2.85,3.5,3.3,3.0,9.49,1.0,0,0,0,0,0,0,2,0,0,0,1,4,26
6,0,18.0,1,32.0,0,0,0,2.38,3.5,2.48,2.64,3.35,1.8,8.08,0.67,0,0,0,0,0,0,2,0,0,0,1,4,27
6,0,18.0,1,32.0,0,0,0,3.3,3.5,3.0,2.9,3.5,3.0,9.6,1.0,0,0,0,0,0,0,2,0,0,0,1,4,29
7,0,18.0,1,32.0,0,0,0,3.44,3.5,2.8,3.31,3.5,2.75,9.65,1.0,0,0,0,0,0,0,2,0,0,0,1,4,9
7,0,18.0,1,32.0,0,0,0,2.5,3.5,2.0,3.19,3.3,2.6,8.55,0.83,0,0,0,0,0,0,2,0,0,0,1,4,1
7,0,18.0,1,32.0,0,0,0,2.63,3.4,2.2,2.5,3.5,2.6,8.42,1.0,0,0,0,0,0,0,2,0,0,0,1,4,30
7,0,18.0,1,32.0,0,0,0,2.92,3.5,3.0,3.17,3.5,3.0,9.55,1.0,0,0,0,0,0,0,2,0,0,0,1,4,31
7,0,18.0,1,32.0,0,0,0,2.88,3.5,3.0,3.0,3.5,3.0,9.44,1.0,0,0,0,0,0,0,2,0,0,0,1,4,33
2,0,10.0,1,32.0,0,0,0,3.25,3.5,3.0,3.44,3.5,3.0,9.8,1.0,0,0,0,0,0,0,2,0,0,0,1,4,12
2,0,10.0,1,32.0,0,0,0,3.5,3.5,3.0,3.13,3.5,3.0,9.8,1.0,0,0,0,0,0,0,2,0,0,0,1,4,47
